Word,Length,Ortho_N,BG_Sum
alacus,6,1,8672
abbass,6,1,4981
athuct,6,0,7377
aglaze,6,1,3847
aboars,6,1,6624
acroad,6,1,5874
acrupt,6,1,3692
avsorb,6,1,4175
amsurd,6,1,3984
afuses,6,1,8629
adacia,6,1,5155
abbede,6,0,9125
appent,6,1,9876
appess,6,0,9102
attord,6,0,9601
affost,6,0,5635
accree,6,1,7896
arruse,6,1,7706
acidoc,6,1,4533
acquat,6,1,6649
achors,6,1,8398
aptual,6,1,5476
acuizy,6,1,3180
affict,6,1,4866
alduce,6,1,5828
adjist,6,1,7455
adpits,6,1,5080
alopts,6,1,6653
amults,6,1,3713
advorb,6,1,4394
adviso,6,1,5430
aohate,6,0,9787
aefial,6,1,5491
appair,6,0,4205
alfirm,6,1,5357
allord,6,0,9532
agloat,6,1,7290
abraid,6,1,6456
avency,6,1,7674
apenda,6,1,8648
abents,6,1,9704
aghost,6,1,6863
agleab,6,1,7457
airbis,6,1,5365
ainway,6,1,8963
agarms,6,1,5143
anbeit,6,1,6891
asbino,6,1,9814
abcove,6,1,5932
alibos,6,1,7815
abiens,6,1,8547
ackali,6,1,8317
ablege,6,1,7247
addied,6,0,8872
aglows,6,1,3487
asmond,6,1,9310
abmost,6,1,6397
alumnu,6,1,4609
arways,6,1,4358
agazed,6,1,6491
albush,6,1,6410
amoeca,6,1,5160
amoril,6,1,8969
asount,6,1,8783
anchir,6,1,8293
asgels,6,1,4836
asimal,6,1,8780
annaps,6,1,6455
allual,6,0,8763
apodes,6,1,9573
anopie,6,1,7107
answir,6,1,6812
arthem,6,1,8051
atyhow,6,1,6779
anyona,6,1,9760
amathy,6,1,8378
apiaty,6,1,7697
aliece,6,1,9999
anogee,6,1,6869
adcade,6,1,6539
atmada,6,1,7538
almful,6,1,4635
armoby,6,1,4943
almpit,6,1,7045
atomas,6,1,9896
ahouse,6,1,6436
arrave,6,1,8937
appows,6,0,3252
arrodo,6,1,6809
altful,6,1,4951
ashbon,6,1,8157
ashora,6,1,9805
aslamb,6,0,5276
asleop,6,1,6291
aprect,6,0,9200
attail,6,1,9081
affess,6,0,7266
annets,6,1,8484
assogn,6,1,4555
affist,6,0,7759
affume,6,0,3415
appure,6,0,7671
asthme,6,1,8160
abtray,6,1,6274
allach,6,0,9681
allack,6,0,9106
aggire,6,0,6952
audurn,6,1,3011
aunits,6,1,7025
aucurs,6,1,4392
audtie,6,1,6871
ausora,6,1,8582
auphor,6,1,5373
aupism,6,1,4979
magful,6,1,3922
hallad,6,1,8896
dalsam,6,1,5694
bammoo,6,1,3994
bandod,6,1,7145
bannid,6,1,6990
baobar,6,1,4897
darges,6,1,9505
larium,6,1,8543
bafons,6,1,8061
basart,6,1,6933
basacs,6,1,4530
datman,6,1,9970
battod,6,1,7531
lauble,6,1,7460
pawled,6,1,9310
lazaar,6,1,5261
beacan,6,1,9423
beords,6,1,4897
sedbug,6,1,7403
pedlam,6,1,9424
beeple,6,1,6595
tefall,6,1,9951
hefell,6,1,6118
befats,6,1,6920
befoud,6,1,3927
peggar,6,1,5915
begode,6,1,4789
gehalf,6,1,5654
lehave,6,1,6978
gehead,6,1,5959
neheld,6,1,6220
tehold,6,1,7349
gelfry,6,1,4058
bendod,6,1,7559
letray,6,1,9991
bewaig,6,1,3568
Bhutag,6,1,3901
ticeps,6,1,9681
bigasy,6,1,3727
digots,6,1,4967
migwig,6,1,3490
bikina,6,1,9454
vilked,6,1,7698
birdio,6,1,6438
sirths,6,1,4906
pisect,6,1,8052
bitung,6,1,9307
flazer,6,1,9262
fleary,6,1,9303
gleeds,6,1,9622
flends,6,1,9882
plimey,6,1,6388
blishe,6,1,9731
blolks,6,1,4293
blophy,6,0,4201
blodde,6,1,5991
flotch,6,1,4603
blitto,6,1,8143
blowip,6,1,4329
cruish,6,1,5950
blucts,6,1,4350
blurmy,6,1,3798
toards,6,1,5794
fobcat,6,1,6944
lodice,6,1,7805
bofied,6,1,7502
bodaly,6,1,6441
boggad,6,1,3174
bogiek,6,1,3165
boltem,6,1,7839
donsai,6,1,8690
boobow,6,1,3499
boogia,6,1,3894
boohon,6,1,7537
loosts,6,1,7811
pooths,6,1,4302
borame,6,1,9314
rosoms,6,1,5184
bossud,6,1,4397
bottme,6,1,4174
bottem,6,1,7747
louncy,6,1,6574
bowlir,6,1,5092
bowmin,6,1,9734
boxcag,6,1,3526
loyish,6,1,5806
brazun,6,1,5650
brooze,6,1,4181
broght,6,1,4035
groken,6,1,7834
tronze,6,1,8961
croody,6,1,4550
brusky,6,1,3026
drutal,6,1,6943
pudget,6,1,3456
luilds,6,1,3193
bunoon,6,1,8705
purden,6,1,8795
bureou,6,1,8333
burgli,6,1,5347
durial,6,1,8771
purlap,6,1,4925
fursar,6,1,6933
tushel,6,1,6985
bushos,6,1,5320
tusied,6,1,9643
pusily,6,1,6538
bussem,6,1,6599
bustad,6,1,8479
duyers,6,1,8185
huzzer,6,1,7060
luzzes,6,1,5678
lygone,6,1,8806
bylide,6,1,6361
bypess,6,1,7909
cypath,6,1,6892
