Word,Length,Ortho_N,BG_Sum,Freq_HAL
abroad,6,0,5195,5984
accept,6,1,4357,49430
access,6,0,9380,172256
across,6,0,6819,62336
actors,6,0,8192,7249
actual,6,0,6843,40919
adjust,6,0,6300,8566
adults,6,0,3822,11743
advice,6,1,5813,44488
advise,6,1,6679,9061
affect,6,1,3647,18690
afford,6,0,4607,18642
afraid,6,0,5485,23303
agency,6,0,7385,22870
agenda,6,0,8107,9832
allows,6,1,6948,43222
almost,6,0,8543,111601
always,6,0,4411,200870
amount,6,0,8458,61858
annual,6,0,7621,23577
anyway,6,0,4763,96987
appeal,6,1,7921,11721
appear,6,1,7822,46487
arcade,6,1,8852,7861
argued,6,1,8536,5832
arrive,6,0,9191,9548
aspect,6,0,6385,15514
assign,6,0,5783,6449
assume,6,1,6254,42861
assure,6,1,9779,6724
attach,6,1,9711,7340
attack,6,1,9136,46040
author,6,0,6681,53382
avenue,6,1,6774,20151
awhile,6,0,6392,7861
backup,6,0,3611,21879
beauty,6,0,4785,12714
became,6,1,6649,34338
become,6,1,7591,93420
before,6,0,9191,344936
behalf,6,0,5301,8393
behave,6,0,4420,5743
belief,6,1,7040,19406
beware,6,0,9338,5609
beyond,6,0,7550,43775
bottom,6,0,4924,43483
broken,6,1,7661,25599
browse,6,1,5547,7016
budget,6,0,3578,29992
burden,6,0,8917,7831
bureau,6,0,8699,7893
button,6,1,8104,30330
campus,6,1,5490,13903
cannot,6,1,7356,108318
carpet,6,0,8053,9279
charge,6,1,7144,45281
choice,6,0,6985,65532
choose,6,1,6513,49680
chosen,6,0,9403,14953
church,6,0,5110,49074
circle,6,0,6222,19887
clause,6,1,6565,6673
colors,6,0,9463,22947
column,6,0,5043,15765
combat,6,1,9078,18625
commit,6,1,7621,8067
common,6,0,9642,97044
cosmic,6,0,7508,7255
couple,6,0,8746,93448
course,6,1,9002,195947
cruise,6,1,6686,7516
custom,6,0,8273,18290
cycles,6,1,8741,6242
damage,6,0,5154,42588
deeply,6,0,6466,7942
defeat,6,1,9615,7657
defend,6,1,9197,15251
degree,6,1,9195,42088
design,6,1,9850,110689
device,6,1,7772,49124
differ,6,0,9516,7482
direct,6,0,9669,54882
divide,6,1,6964,6284
doctor,6,0,6496,31917
dollar,6,1,8487,23916
double,6,1,7236,42366
dragon,6,0,9257,29320
easily,6,0,7941,52243
effect,6,1,3862,67019
effort,6,0,5197,37651
enough,6,0,7082,191008
escape,6,0,9705,15846
ethics,6,0,6156,7503
ethnic,6,0,6539,10789
except,6,0,3352,83885
excess,6,1,8375,8831
excuse,6,1,4839,19298
expand,6,1,7125,12699
expect,6,1,4886,60322
fabric,6,0,7175,5876
factor,6,0,7151,22949
fairly,6,0,3983,38992
family,6,0,5721,88710
famous,6,0,5480,17485
female,6,0,9742,43053
figure,6,0,7891,56510
firmly,6,0,3773,6327
floppy,6,1,3284,27146
forgot,6,1,4916,18013
format,6,1,9788,79019
fourth,6,0,5945,15701
freely,6,0,9068,12728
frozen,6,0,6874,7705
future,6,1,7986,90741
galaxy,6,0,5807,9295
garage,6,0,8684,5868
genius,6,0,8068,6437
global,6,0,6105,30247
golden,6,0,8405,17531
gopher,6,0,9575,43351
ground,6,1,8184,48767
growth,6,0,4913,36594
guilty,6,0,3318,12515
guitar,6,0,7832,24781
happen,6,0,8003,66094
hardly,6,0,6594,21524
height,6,1,3688,12052
helmet,6,0,6683,5751
